"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.589105875E0,1.949615330E-1,-5.279676914E-1,5.495652556E-1
3.599155875E0,2.130526453E-1,-5.413679481E-1,5.384673476E-1
3.609205875E0,2.259020209E-1,-4.495858550E-1,4.921980202E-1
3.619255875E0,2.608538866E-1,-3.913606405E-1,4.064330757E-1
3.629305875E0,3.054110110E-1,-3.816997111E-1,2.721988559E-1
3.639355875E0,3.422174752E-1,-3.935675621E-1,1.020042151E-1
3.649405875E0,3.704972863E-1,-3.396580517E-1,-1.075700521E-1
3.659455875E0,3.843169510E-1,-1.718858182E-1,-3.522754014E-1
3.669505875E0,3.232375979E-1,-7.591480017E-2,-6.685932279E-1
3.679555875E0,8.701892942E-2,1.725362986E-1,-7.898003459E-1
3.689605875E0,-1.734909415E-1,1.032697082E0,-6.451176405E-1
3.699655875E0,-1.780782342E-1,2.101117611E0,-3.564333916E-1
3.709705875E0,4.932113737E-2,2.519495726E0,-3.724371791E-1
3.719755875E0,1.916151643E-1,2.255283594E0,-6.376765370E-1
3.729805875E0,1.538518518E-1,1.789690971E0,-6.596149802E-1
3.739855875E0,6.367563456E-2,1.354186416E0,-4.859348536E-1
3.749905875E0,-5.018015206E-2,7.843408585E-1,-2.486840785E-1
3.759955875E0,-1.852737963E-1,1.462197751E-1,-3.872792423E-2
3.770005542E0,-1.088176295E-1,-5.193157792E-1,1.873418242E-1
3.780055542E0,2.333847135E-1,-1.234180093E0,4.032858312E-1
3.790105542E0,6.747617126E-1,-1.877194643E0,6.130655408E-1
3.800155542E0,9.848420620E-1,-2.310721874E0,8.258297443E-1
3.810205542E0,1.104619622E0,-2.529299259E0,9.901847839E-1
3.820255542E0,1.122921348E0,-2.527723074E0,1.059457660E0
3.830305542E0,1.153862119E0,-2.312083960E0,1.029567480E0
3.840355542E0,1.292228818E0,-1.798592329E0,9.186604023E-1
3.850405542E0,1.671250343E0,-6.291646361E-1,7.695114613E-1
3.860455542E0,2.034495115E0,1.029527783E0,5.995954275E-1
3.870505542E0,1.576697826E0,1.869245529E0,4.367319047E-1
3.880555542E0,5.024460554E-1,1.640700698E0,3.056662977E-1
3.890605542E0,-5.161392689E-1,9.340259433E-1,1.690339297E-1
3.900655542E0,-9.451952577E-1,4.679621160E-1,2.720302343E-2
