,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
9309,92.77220713,-2.1275257869999997,-13.59517868,-8.772657166
9310,92.78215613,-2.189496918,-12.31848358,-6.534661102
9311,92.79213512,-2.0502864069999998,-11.03385498,-5.115312653
9312,92.80208412,-1.758842468,-9.854158173,-4.731211395
9313,92.81206312,-1.349743195,-8.813222808999999,-4.860991516
9314,92.82201212,-0.9369017029000001,-7.864645386,-5.101990356
9315,92.83199113,-0.5516029358,-7.23460556,-5.483397217
9316,92.84197013,-0.026943969730000003,-7.147636414,-6.545289001
9317,92.85191913,0.8279283142,-7.901768187999999,-6.63091095
9318,92.86189812,1.5596067809999998,-10.38839722,-4.739893341
9319,92.87184713,2.094743958,-14.40215057,-3.027304688
9320,92.88182612,2.802172852,-18.00276306,-0.9018745422
9321,92.89177512,3.564537506,-19.60607895,1.021176453
9322,92.90175412,4.108506317,-16.807798,2.4511528019999997
9323,92.91173413,4.536616058,-11.91582092,1.7028588869999999
9324,92.92168213,3.89759491,-8.145162048,1.377585297
9325,92.93166212,2.670895844,-5.526657257,1.5775694269999998
9326,92.94161013,2.097288666,-3.638633423,1.507814484
9327,92.95159012,1.5399975590000001,-2.977608032,1.545386353
9328,92.96153812,0.5842350769,-3.533102875,2.422262878
9329,92.97151812,-0.5165757751,-5.257816315,4.112098846
9330,92.98149713,-1.231040039,-7.306905212,5.234614563
9331,92.99144613,-1.432970123,-8.80259491,4.931345215
9332,93.00142513,-1.439855804,-10.06432114,3.8895117189999997
9333,93.01137413,-1.383423157,-11.45612686,2.874322815
9334,93.02135312,-1.820214844,-13.21586746,2.433040466
9335,93.03130212,-3.237916718,-15.15777924,1.469045105
9336,93.04128112,-4.911735992,-15.35312302,-1.407822418
9337,93.05126013,-5.67724411,-13.67675903,-4.466711426
9338,93.06120913,-4.99975296,-11.84412003,-4.598138123
9339,93.07118813,-3.00949173,-10.41893372,-2.91114624
9340,93.08113713,-1.059047699,-9.538614349,-1.2867242429999999
9341,93.09111612,-0.3909869385,-9.026229857999999,-0.1799258423
9342,93.10106512,0.04819976807,-8.469687195,0.34143997189999997
9343,93.11104412,0.3671864319,-7.9926292420000005,0.4375401306
9344,93.12102313,0.3845503235,-7.68157608,0.27243347170000004
9345,93.13097212,0.556842041,-7.551346893,0.04640350342
9346,93.14095113,0.4649331665,-7.882158966,-0.08202941895
9347,93.15090013,0.4090992737,-8.268056488,0.13995895390000002
9348,93.16087912,0.1531315613,-8.56967926,0.35176849369999996
9349,93.17085812,-0.26569747920000003,-8.827443237,0.2089654541
9350,93.18080712,-0.552052002,-9.04598877,-0.1547781372
9351,93.19078613,-0.6408174133,-9.218579865,-0.43349853520000003
9352,93.20073512,-0.826431427,-9.233249359,-0.6427633667
9353,93.21071413,-1.1096424870000001,-9.244176636,-0.7891589354999999
9354,93.22066313,-1.41695343,-9.363179169,-0.7795788574
9355,93.23064213,-1.627415771,-9.52678894,-0.7325765991
9356,93.24062212,-1.8199154659999999,-9.626631317000001,-0.6405180359
9357,93.25057012,-2.08860672,-9.686357117,-0.523611145
9358,93.26055013,-2.251468048,-9.576784972999999,-0.3881428528
9359,93.27049812,-2.203867035,-9.369466095,-0.14220428470000002
9360,93.28047813,-2.014361115,-9.145681458,0.1890568542
9361,93.29042613,-1.64627655,-8.958271179,0.6008505249
9362,93.30040613,-1.197659454,-8.840915222000001,1.066981201
9363,93.31038512,-0.7988887024,-8.806636505,1.4594650269999998
9364,93.32033312,-0.5297483826,-8.861272888,1.730102234
9365,93.33031312,-0.292641449,-8.995244292999999,1.8097366330000002
9366,93.34026112,-0.06481521606,-9.366023254,1.6051121519999998
9367,93.35024113,0.1652563477,-9.816885681,1.143921204
9368,93.36018913,0.3153941345,-10.2652034,0.5547463989
9369,93.37016913,0.2089654541,-10.60305084,-0.024698638919999998
9370,93.38014812,-0.14923965449999999,-10.71995773,-0.5366340637
9371,93.39009712,-0.7207511902,-10.65978287,-0.7496411132999999
9372,93.40007612,-1.324894867,-10.49662216,-0.3573069763
9373,93.41002512,-1.936373291,-10.47536636,0.2389031982
9374,93.42000413,-2.32257019,-10.5796994,0.20956420899999997
9375,93.42995312,-2.416574707,-10.66756668,-0.4559518433
9376,93.43993213,-2.4182212830000003,-10.78926361,-1.143771515
9377,93.44991112,-2.49111969,-10.83791245,-1.3828244019999998
9378,93.45986012,-2.64440094,-10.89000412,-1.178798676
9379,93.46983912,-2.735860748,-11.03041214,-0.8598120117
9380,93.47978812,-2.670446777,-11.27799728,-0.6676116943
9381,93.48976713,-2.5499473569999997,-11.76703033,-0.7658074951
9382,93.49971612,-2.627336426,-12.58133698,-0.9087602234000001
9383,93.50969513,-2.8909382630000002,-13.39938583,-0.904119873
9384,93.51967412,-3.295995941,-13.82405273,-0.6381230164
9385,93.52962313,-3.4781671139999997,-13.5484758,-0.20911514280000001
9386,93.53960212,-3.545676727,-13.14805847,0.06271957397000001
9387,93.54955112,-3.736978912,-13.08414139,0.43858795170000003
9388,93.55953012,-3.7736526489999997,-12.68611908,0.9413923645000001
9389,93.56947912,-3.1699580380000003,-11.60222305,1.214873657
9390,93.57945813,-1.82410675,-10.60918808,0.8298742676
9391,93.58943812,-0.383203125,-9.931547241,0.5207670593
9392,93.59938613,0.5608836365,-9.641151123,0.7060816956
9393,93.60936512,1.281485138,-9.793234863,1.258433075
9394,93.61931412,1.8717077640000002,-10.56233551,2.26179657
9395,93.62929312,2.266736298,-12.0315303,3.3221914669999997
9396,93.63927313,2.501148834,-13.40687027,3.5130445860000004
9397,93.64922113,2.476899261,-14.48313217,3.0172755430000002
9398,93.65920113,2.287243652,-15.02096375,2.306104431
9399,93.66914913,1.9830761719999999,-14.7084137,1.2466076659999998
9400,93.67912912,1.38072876,-13.55655899,0.33006362920000004
9401,93.68907712,0.5912704468,-12.03407501,-0.2731819153
9402,93.69905712,-0.0067359924320000006,-10.7787854,-0.7854167175
9403,93.70901587,-0.4899311829,-9.923314362000001,-0.9211843872
9404,93.71896487,-1.221010895,-9.462123412999999,-0.6212081909
9405,93.72894388,-1.4468911740000001,-9.653724976,-0.4713697815
9406,93.73889288,-0.8719367981,-10.19679565,-0.9078620911
9407,93.74887188,-0.8042774963,-10.19949005,-0.3534150696
9408,93.75882088,-0.643661499,-9.778265991,0.8352630615000001
9409,93.76879987,-0.5411247253,-8.983269196,1.4009367369999999
9410,93.77877887,-0.46732818600000003,-8.390950927999999,0.6753955078
9411,93.78872787,-0.3502716064,-8.153245239,-0.3992198181
9412,93.79870688,-0.237406311,-8.09696228,-0.8149053955
9413,93.80865588,-0.01362167358,-7.925718384,-0.7917036437999999
9414,93.81863488,0.20492385859999998,-7.627388763,-1.04961731
9415,93.82858388,0.32063323969999996,-7.561226349,-1.4097683719999998
9416,93.83856287,0.4150868225,-7.64535141,-1.518292694
9417,93.84854187,0.3905378723,-7.655530242999999,-1.583407288
