,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
8520,85.05951567,0.007560477592,-1.842078567,0.2505484819
8521,85.06949467,-0.0041233431550000005,-1.814949751,0.3036220968
8522,85.07944367,-0.06464204192,-1.7150920630000002,0.3268578053
8523,85.08942267,-0.1154868454,-1.6099730730000001,0.32428094739999996
8524,85.09937167,-0.1190169752,-1.56619525,0.29350379109999997
8525,85.10935067,-0.09779398143,-1.585435748,0.2540977895
8526,85.11933067,-0.05513617396000001,-1.617115736,0.20541341600000002
8527,85.12927867,-0.0397263281,-1.6174811119999999,0.1580051631
8528,85.13925867,-0.04289361835,-1.55589664,0.1069197208
8529,85.14920667,-0.07004640996,-1.465120912,0.055732432750000005
8530,85.15918667,-0.08240777999,-1.396377325,0.006734094582
8531,85.16913467,-0.09413101524,-1.387530208,-0.02668191865
8532,85.17911467,-0.08064030856000001,-1.410701513,-0.051291801039999994
8533,85.18909367,-0.05178762227,-1.414043546,-0.05378079414
8534,85.19904267,-0.009436614811,-1.367806911,-0.0412591435
8535,85.20902167,0.03635617346,-1.283522129,-0.01810109429
8536,85.21896967,0.06329659373,-1.1858421559999999,0.002860332839
8537,85.22894967,0.07393406332,-1.097498655,0.014197410080000002
8538,85.23889767,0.04766861722,-1.0261435509999999,0.01874463633
8539,85.24887767,0.0174382776,-0.9565889835,0.016355780880000004
8540,85.25885667,-0.0106028486,-0.8754153848,0.015224733390000002
8541,85.26880567,-0.007953003049,-0.7966135144,0.015565351580000001
8542,85.27878467,0.029855100439999997,-0.7266386747,0.007890583946999999
8543,85.28873367,0.06365008652000001,-0.6654682755,-0.003736776998
8544,85.29871267,0.09323764592,-0.6130024790999999,-0.01695179753
8545,85.30866167,0.1055824682,-0.5636333227,-0.03705653548
8546,85.31864067,0.10318855199999999,-0.5053114295000001,-0.05250686407
8547,85.32861967,0.09702865778999999,-0.4382953942,-0.07330295444
8548,85.33856867,0.09603913127999998,-0.37092512850000003,-0.10057640080000001
8549,85.34854767,0.08635535091,-0.3126016259,-0.13172553480000002
8550,85.35849667,0.07865917683,-0.2755057514,-0.1528415531
8551,85.36847567,0.07975427061000001,-0.2516515553,-0.1626566201
8552,85.37842467,0.06055757403,-0.24508118629999998,-0.1614144593
8553,85.38840367,0.012404693290000001,-0.2529875636,-0.1530332267
8554,85.39838267,-0.047528903930000005,-0.2568062246,-0.1225286648
8555,85.40833167,-0.11706963179999999,-0.2718509436,-0.08100945503
8556,85.41831067,-0.1919057816,-0.269082278,-0.030605819080000003
8557,85.42825967,-0.2637296617,-0.2424820811,0.02266113088
8558,85.43823867,-0.3416906893,-0.1882147491,0.05700394511
8559,85.44818767,-0.4452261329,-0.09833651781,0.06939723343
8560,85.45816667,-0.53934443,0.011467810719999999,0.0725036189
8561,85.46814667,-0.6218060255,0.10168585179999999,0.07438381016
8562,85.47809467,-0.6566893457999999,0.1325118691,0.07844798267000001
8563,85.48807367,-0.6447970271,0.1075844169,0.06967420131
8564,85.49802267,-0.5982170105,0.031943678860000005,0.057660028339999995
8565,85.50800167,-0.5278241038,-0.05100074038,0.03646872565
8566,85.51795067,-0.4569664896,-0.141975522,-0.006461920217000001
8567,85.52792967,-0.39518299700000004,-0.22220432760000003,-0.05408509821
8568,85.53790967,-0.3529554307,-0.2678198218,-0.09554856270999999
8569,85.54785767,-0.311968565,-0.2581275403,-0.1314596832
8570,85.55783767,-0.2699995637,-0.2105340958,-0.15280486640000002
8571,85.56778567,-0.1858633757,-0.1416373253,-0.15061867240000001
8572,85.57776567,-0.07681791484,-0.01525609009,-0.1550159752
8573,85.58771367,-0.002045940608,0.02084092796,-0.1611156762
8574,85.59769367,0.05537230521000001,-0.028414580970000002,-0.14344257119999998
8575,85.60767267,0.1196570173,-0.10422945019999999,-0.10809390990000001
8576,85.61762167,0.1690865755,-0.17322379350000003,-0.0730740428
8577,85.62760067,0.2009268105,-0.1964257807,-0.051175668839999994
8578,85.63754967,0.23386079070000002,-0.1798108518,-0.043551303449999995
8579,85.64752867,0.27365428210000003,-0.15866774320000002,-0.043215744199999996
8580,85.65750767,0.3124272525,-0.1101741642,-0.04582174122
8581,85.66745667,0.3510156572,-0.054117813710000004,-0.03856915608
8582,85.67743567,0.39121860270000003,0.001724638045,-0.01747660711
8583,85.68738467,0.4363775551,0.05119551346,0.004679029342
8584,85.69732779,0.47985512020000004,0.1003520042,0.03495144099
8585,85.70727679,0.5243916512,0.1642939746,0.0687725246
8586,85.71725579,0.5601463318,0.23937812449999998,0.1059634015
8587,85.72723479,0.6033385396000001,0.3190860152,0.14747515320000001
8588,85.73718379,0.650493443,0.37517523770000005,0.1794077754
8589,85.74716279,0.6932217479,0.3532824516,0.1900154054
8590,85.75711179,0.7061654925,0.2470059544,0.18189954760000002
8591,85.76709079,0.6928334236,0.1085929573,0.1506340355
8592,85.77703979,0.6797865629000001,0.01203012094,0.1002180949
8593,85.78701879,0.6721211672,-0.031283799560000006,0.04424963146000001
8594,85.79699779,0.6538022161,-0.05545058846,-0.01079996675
8595,85.80694679,0.5904663801,-0.07245753706000001,-0.04849807546
8596,85.81692579,0.5039281845,-0.09886888414999999,-0.06277251989
8597,85.82687479,0.41151276229999995,-0.1265873313,-0.06674435735
8598,85.83685379,0.3268279731,-0.1257337928,-0.06232538074
